"id";"food_category";"name";"water";"calories";"protein";"total_fat";"sfa";"mufa";"pufa";"cholesterol";"carbs";"sugar";"ash";"dietary_fiber";"calcium";"iron";"magnesium";"phosphorus";"potassium";"sodium";"zinc";"copper";"selenium";"edible_fraction";"vitamin_c";"thiamine";"riboflavin";"niacin";"vitamin_b5";"vitamin_b6";"folic_acid";"folate";"food_based_folate";"vitamin_b12";"vitamin_a";"retinol";"carotenoids";"vitamin_e";"vitamin_d";"vitamin_k";"priceTierId";"imageId";"editedById";"isEdited";"can_be_a_dish";"is_gluten_free";"is_lacto_vegetarian";"is_ovo_lacto_vegetarian";"is_ovo_vegetarian";"is_vegan";"has_eggs";"has_gluten";"has_honey";"has_meat";"has_milk"
10012;10;NUEZ DE NOGAL, SECA;4.00;654.00;15.23;65.21;6.13;8.93;47.17;0.00;13.71;2.61;6.70;1.78;98.00;2.91;158.00;346.00;441.00;2.00;3.09;1.59;4.90;0.45;1.00;0.34;0.15;1.13;0.57;0.54;0.00;98.00;98.00;0.00;1.00;0.00;12.00;0.70;0.00;2.70;;;;false;;;;;;;;;;;
10030;10;PECANA SECA, TOSTADA S/SAL;1.00;710.00;9.50;74.27;6.28;43.96;20.57;0.00;13.55;4.06;9.40;1.56;72.00;2.80;132.00;293.00;424.00;1.00;5.07;1.17;4.00;1.00;1.00;0.45;0.11;1.17;0.70;0.19;0.00;16.00;16.00;0.00;7.00;0.00;84.00;1.30;0.00;;;;;false;;;;;;;;;;;
10031;10;PECANA SECA, TOSTADA SCSAL;1.00;710.00;9.50;74.27;6.28;43.96;20.57;0.00;13.55;4.06;9.40;1.56;72.00;2.80;132.00;293.00;424.00;383.00;5.07;1.17;4.00;1.00;1.00;0.45;0.11;1.17;0.70;0.19;0.00;16.00;16.00;0.00;7.00;0.00;84.00;1.30;0.00;;;;;false;;;;;;;;;;;
10013;10;PECANA, CRUDA;4.00;691.00;9.17;71.97;6.18;40.80;21.61;0.00;13.86;3.97;9.60;1.49;70.00;2.53;121.00;277.00;410.00;0.00;4.53;1.20;3.80;0.53;1.00;0.66;0.13;1.17;0.86;0.21;0.00;22.00;22.00;0.00;3.00;0.00;29.00;1.40;0.00;3.50;;;;false;;;;;;;;;;;
10014;10;SEMILLA DE AJONJOLI O SESAMO, SECA;5.00;573.00;17.73;49.67;6.96;18.76;21.77;0.00;23.45;0.30;11.80;4.45;975.00;14.55;351.00;629.00;468.00;11.00;7.75;4.08;34.40;1.00;0.00;0.79;0.25;4.52;0.05;0.79;0.00;97.00;97.00;0.00;0.00;0.00;5.00;0.25;0.00;0.00;;;;false;;;;;;;;;;;
10021;10;SEMILLA DE ARBOL RAMON O NUEZ MAYA;7.00;367.00;8.62;1.68;0.45;0.21;0.90;0.00;79.39;;14.90;3.81;94.00;4.60;115.00;178.00;2011.00;53.00;1.91;2.46;1.90;1.00;47.00;0.03;0.14;2.10;1.88;0.69;0.00;113.00;113.00;0.00;11.00;0.00;;;0.00;;;;;false;;;;;;;;;;;
10015;10;SEMILLA DE AYOTE, SECA;5.00;559.00;30.23;49.05;8.66;16.24;20.98;0.00;10.71;1.40;6.00;4.78;46.00;8.82;592.00;1233.00;809.00;7.00;7.81;1.34;9.40;0.74;2.00;0.27;0.15;4.99;0.75;0.14;0.00;58.00;58.00;0.00;1.00;0.00;9.00;2.18;0.00;7.30;;;;false;;;;;;;;;;;
10044;10;SEMILLA DE AYOTE, TOSTADA C/SAL;2.00;574.00;29.84;49.05;8.54;15.73;19.86;0.00;14.71;1.29;6.50;4.37;52.00;8.07;550.00;1174.00;788.00;256.00;7.64;1.28;9.40;1.00;2.00;0.07;0.15;4.43;0.57;0.10;0.00;57.00;57.00;0.00;0.00;0.00;5.00;0.56;0.00;4.50;;;;false;;;;;;;;;;;
10016;10;SEMILLA DE AYOTE, TOSTADA S/SAL;2.00;574.00;29.84;49.05;8.54;15.73;19.86;0.00;14.71;1.29;6.50;4.37;52.00;8.07;550.00;1174.00;788.00;18.00;7.64;1.28;9.40;1.00;2.00;0.07;0.15;4.43;0.57;0.10;0.00;57.00;57.00;0.00;0.00;0.00;5.00;0.56;0.00;4.50;;;;false;;;;;;;;;;;
10019;10;SEMILLA DE CACAO, SECA;4.00;456.00;12.00;46.30;;;;;34.70;;8.60;3.40;106.00;3.60;;537.00;;;;;;1.00;3.00;0.17;0.14;1.70;;;;;;;5.00;;;;;;;;;false;;;;;;;;;;;
10020;10;SEMILLA DE CHAN;6.00;486.00;16.54;30.74;3.33;2.31;23.67;0.00;42.12;;34.40;4.80;631.00;7.72;335.00;860.00;407.00;16.00;4.58;0.92;55.20;1.00;2.00;0.62;0.17;8.83;;;;49.00;49.00;0.00;16.00;;;0.50;;;;;;false;;;;;;;;;;;
10045;10;SEMILLA DE GIRASOL SECA;5.00;584.00;20.78;51.46;4.46;18.53;23.14;0.00;20.00;2.62;8.60;3.02;78.00;5.25;325.00;660.00;645.00;9.00;5.00;1.80;53.00;0.54;1.00;1.48;0.36;8.34;1.13;1.35;0.00;227.00;227.00;0.00;3.00;0.00;30.00;35.17;0.00;0.00;;;;false;;;;;;;;;;;
10046;10;SEMILLA DE GIRASOL SECA, TOSTADA C/SAL;1.00;582.00;19.33;49.80;5.22;9.51;32.88;0.00;24.07;2.73;9.00;5.60;70.00;3.80;129.00;1155.00;850.00;655.00;5.29;1.83;79.30;1.00;1.00;0.11;0.25;7.04;7.04;0.80;0.00;237.00;237.00;0.00;0.00;0.00;5.00;26.10;0.00;2.70;;;;false;;;;;;;;;;;
10047;10;SEMILLA DE GIRASOL SECA, TOSTADA S/SAL;1.00;582.00;19.33;49.80;5.22;9.51;32.88;0.00;24.07;2.73;11.10;5.60;70.00;3.80;129.00;1155.00;850.00;3.00;5.29;1.83;79.30;1.00;1.00;0.11;0.25;7.04;7.04;0.80;0.00;237.00;237.00;0.00;0.00;0.00;5.00;26.10;0.00;2.70;;;;false;;;;;;;;;;;
10040;10;SEMILLA DE MARAÑON, ACAJU;5.00;553.00;18.22;43.85;7.78;23.80;7.85;0.00;30.19;5.91;3.30;2.54;37.00;6.68;292.00;593.00;660.00;12.00;5.78;2.20;19.90;1.00;1.00;0.42;0.06;1.06;0.86;0.42;0.00;25.00;25.00;0.00;0.00;0.00;0.00;0.90;0.00;34.10;;;;false;;;;;;;;;;;
10023;10;SEMILLA DE MARAÑON, TOSTADA C/SAL;2.00;574.00;15.31;46.35;9.16;27.32;7.84;0.00;32.69;5.01;3.00;3.95;45.00;6.00;260.00;490.00;565.00;640.00;5.60;2.22;11.70;1.00;0.00;0.20;0.20;1.40;1.22;0.26;0.00;69.00;69.00;0.00;0.00;0.00;0.00;0.92;0.00;34.70;;;;false;;;;;;;;;;;
10022;10;SEMILLA DE MARAÑON, TOSTADA S/SAL;2.00;574.00;15.31;46.35;9.16;27.32;7.84;0.00;32.69;5.01;3.00;3.95;45.00;6.00;260.00;490.00;565.00;16.00;5.60;2.22;11.70;1.00;0.00;0.20;0.20;1.40;1.22;0.26;0.00;69.00;69.00;0.00;0.00;0.00;0.00;0.92;0.00;34.70;;;;false;;;;;;;;;;;
10028;10;SEMILLA DE MORRO O JICARO;3.00;530.00;30.20;39.70;;;;;22.90;;2.40;3.80;50.00;9.40;;968.00;;;;;;0.74;;0.73;0.12;0.90;;;;;;;3.00;;;;;;;;;false;;;;;;;;;;;
10029;10;SEMILLA DE PISTACHO, CRUDA;4.00;560.00;20.16;45.32;5.91;23.26;14.38;0.00;27.17;7.66;10.60;2.99;105.00;3.92;121.00;490.00;1025.00;1.00;2.20;1.30;7.00;0.53;6.00;0.87;0.16;1.30;0.52;1.70;0.00;51.00;51.00;0.00;26.00;0.00;305.00;2.86;0.00;;;;;false;;;;;;;;;;;
10049;10;SEMILLA DE PISTACHO, TOSTADA C/SAL;2.00;569.00;21.05;45.82;5.65;24.53;13.35;0.00;27.55;7.74;10.30;3.79;107.00;4.03;109.00;469.00;1007.00;428.00;2.34;1.29;10.00;0.53;3.00;0.70;0.23;1.37;0.51;1.12;0.00;51.00;51.00;0.00;13.00;0.00;159.00;2.17;0.00;13.20;;;;false;;;;;;;;;;;
10048;10;SEMILLA DE PISTACHO, TOSTADA S/SAL;2.00;572.00;21.05;45.82;5.65;24.53;13.35;0.00;28.28;7.74;10.30;3.00;107.00;4.03;109.00;469.00;1007.00;6.00;2.34;1.29;10.00;0.53;3.00;0.70;0.23;1.37;0.51;1.12;0.00;51.00;51.00;0.00;13.00;0.00;159.00;2.17;0.00;13.20;;;;false;;;;;;;;;;;
10026;10;SEMILLAS MIXTAS, C/MANI, TOSTADAS C/SAL;2.00;594.00;17.30;51.45;6.50;31.40;10.77;0.00;25.35;4.80;9.00;4.15;70.00;3.70;225.00;435.00;693.00;345.00;3.80;1.28;7.50;1.00;0.00;0.20;0.20;4.70;1.21;0.30;0.00;50.00;50.00;0.00;0.00;0.00;3.00;10.94;0.00;12.90;;;;false;;;;;;;;;;;
10027;10;SEMILLAS MIXTAS, C/MANI, TOSTADAS S/SAL;2.00;607.00;19.50;53.50;8.01;34.53;9.86;0.00;22.42;5.00;6.40;2.45;87.00;3.73;227.00;438.00;643.00;4.00;4.06;1.52;9.30;1.00;1.00;0.30;0.40;6.22;;0.36;0.00;60.00;60.00;0.00;0.00;0.00;2.00;6.13;0.00;12.00;;;;false;;;;;;;;;;;
11003;11;ACEITUNA NEGRA O ACEITUNO DE EL SALVADOR;80.00;73.00;1.10;0.40;;;;;18.30;;0.80;0.60;19.00;0.80;;26.00;;;;;;0.84;34.00;0.02;0.04;0.36;;;;;;;0.00;;;;;;;;;false;;;;;;;;;;;
11004;11;ACEITUNA VERDE, ENVASADA;80.00;115.00;0.84;10.68;1.42;7.89;0.91;0.00;6.26;0.00;3.20;2.23;88.00;3.30;4.00;3.00;8.00;735.00;0.22;0.25;0.90;1.00;1.00;0.00;0.00;0.04;0.02;0.01;0.00;0.00;0.00;0.00;20.00;0.00;237.00;1.65;0.00;1.40;;;;false;;;;;;;;;;;
